시,구,년도,월,기존인구,전입,전출,전입-전출,전입+전출,순이동률,총이동률
수원시,권선구,2021,4,374613,3914,4337,-423,8251,-0.113,2.198
수원시,팔달구,2021,4,194165,2907,2418,489,5325,0.254,2.764
수원시,영통구,2021,4,373144,4533,4953,-420,9486,-0.112,2.539
수원시,장안구,2021,3,278234,4007,4467,-460,8474,-0.165,3.036
수원시,권선구,2021,3,375392,4861,6109,-1248,10970,-0.331,2.908
수원시,팔달구,2021,3,192623,8437,4193,4244,12630,2.241,6.668
수원시,영통구,2021,3,373601,5858,6159,-301,12017,-0.08,3.206
수원시,장안구,2021,2,279152,3149,3648,-499,6797,-0.179,2.435
수원시,권선구,2021,2,377238,4130,4738,-608,8868,-0.161,2.351
수원시,팔달구,2021,2,189417,5069,2851,2218,7920,1.171,4.181
수원시,영통구,2021,2,374854,5841,6615,-774,12456,-0.206,3.323
수원시,장안구,2021,1,279152,2485,2786,-301,5271,-0.11,1.926
수원시,권선구,2021,1,377238,3684,3675,9,7359,0.002,1.996
수원시,팔달구,2021,1,189417,2425,2262,163,4687,0.093,2.679
수원시,영통구,2021,1,374854,4995,6568,-1573,11563,-0.426,3.135
수원시,장안구,2020,12,273661,2778,3233,-455,6011,,
수원시,권선구,2020,12,368645,3968,4543,-575,8511,,
수원시,팔달구,2020,12,174930,2875,2641,234,5516,,
수원시,영통구,2020,12,368842,5395,5844,-449,11239,,
